feature,importance
size,0.8400443249404084
clarity_encoded,0.0644793883884177
carat,0.051875688110319645
color_encoded,0.033486115039308616
depth,0.005255262069853691
table,0.0027591985533631284
cut_encoded,0.0021000228983287655
